127.0.0.1 - - [05/Feb/2026:15:40:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:40:21 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:40:22 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:40:28 +0530] "GET /HospitalManagementSystem/Login?email=example%40gmail.com&password=example%40123 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:40:39 +0530] "GET /HospitalManagementSystem/Login?email=example%40gmail.com&password=example%40123 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:41:33 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:41:34 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:41:35 +0530] "GET /HospitalManagementSystem/Login?email=example%40gmail.com&password=example%40123 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:41:44 +0530] "GET /HospitalManagementSystem/Login?email=exampe%40gmail.com&password=example%40123 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:43:54 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:43:54 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:43:58 +0530] "GET /HospitalManagementSystem/Login?email=example%40gmail.com&password=example%40123 HTTP/1.1" 405 748
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:44:22 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:44:22 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:44:22 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:44:24 +0530] "POST /HospitalManagementSystem/Login HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:44:34 +0530] "POST /HospitalManagementSystem/Login HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:47:11 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:47:11 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:47:11 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:47:11 +0530] "GET /HospitalManagementSystem/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:15:47:15 +0530] "POST /HospitalManagementSystem/Login HTTP/1.1" 200 400
